,영화 대표코드,영화명,누적관객수
0,20183867,알라딘,6799704
1,20184047,토이 스토리 4,1115831
2,20183782,기생충,9096332
3,20198453,롱 리브 더 킹: 목포 영웅,680862
4,20196657,맨 인 블랙: 인터내셔널,816440
5,20196655,존 윅 3: 파라벨룸,73138
6,20190273,천로역정: 천국을 찾아서,146086
7,20190885,사탄의 인형,46546
8,20182387,엑스맨: 다크 피닉스,861032
9,20190466,세상을 바꾼 변호인,31379
10,20183867,알라딘,8271797
11,20184047,토이 스토리 4,2251096
12,20196655,존 윅 3: 파라벨룸,676161
13,20183782,기생충,9577981
14,20198453,롱 리브 더 킹: 목포 영웅,1024456
15,20199951,애나벨 집으로,291328
16,20182585,비스트,177340
17,20190273,천로역정: 천국을 찾아서,199791
18,20192022,마담 싸이코,37437
19,20196657,맨 인 블랙: 인터내셔널,843703
20,20196309,스파이더맨: 파 프롬 홈,4522056
21,20183867,알라딘,9222666
22,20184047,토이 스토리 4,2783963
23,20183782,기생충,9775781
24,20196655,존 윅 3: 파라벨룸,853985
25,20199951,애나벨 집으로,398494
26,20198453,롱 리브 더 킹: 목포 영웅,1076594
27,20190273,천로역정: 천국을 찾아서,228366
28,20182585,비스트,199009
29,20192591,BIFAN2019 판타스틱 단편 걸작선 1,25000
30,20196309,스파이더맨: 파 프롬 홈,6685837
31,20183867,알라딘,10161314
32,20184047,토이 스토리 4,3151324
33,20185353,기방도령,220182
34,20183782,기생충,9921310
35,20185986,진범,106756
36,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,101245
37,20199951,애나벨 집으로,459037
38,20196655,존 윅 3: 파라벨룸,913444
39,20192151,미드소마,45707
40,20175771,라이온 킹,2275556
41,20196309,스파이더맨: 파 프롬 홈,7499030
42,20183867,알라딘,10943500
43,20184047,토이 스토리 4,3288382
44,20183782,기생충,10001318
45,20185353,기방도령,278008
46,20185986,진범,157393
47,20192222,사일런스,43202
48,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,127100
49,20192151,미드소마,69036
50,20175771,라이온 킹,3706693
51,20182490,나랏말싸미,755446
52,20183867,알라딘,11661997
53,20196309,스파이더맨: 파 프롬 홈,7872661
54,20198323,레드슈즈,209750
55,20192725,명탐정 코난: 감청의 권,167765
56,20190002,롱 샷,142784
57,20184047,토이 스토리 4,3355807
58,20183782,기생충,10041843
59,20180442,사자,16319
60,20184621,엑시트,2960177
61,20180442,사자,1166293
62,20175771,라이온 킹,4500194
63,20183844,마이펫의 이중생활 2,637941
64,20183867,알라딘,12231054
65,20198323,레드슈즈,527343
66,20182490,나랏말싸미,930998
67,20196309,스파이더맨: 파 프롬 홈,7996657
68,20192725,명탐정 코난: 감청의 권,214485
69,20190002,롱 샷,184741
70,20184621,엑시트,5778527
71,20184462,봉오동 전투,2032319
72,20180442,사자,1527726
73,20183844,마이펫의 이중생활 2,933513
74,20193275,브링 더 소울 : 더 무비,274064
75,20183867,알라딘,12440282
76,20175771,라이온 킹,4684247
77,20198323,레드슈즈,663766
78,20191741,앵그리 버드 2: 독수리 왕국의 침공,134529
79,20190741,김복동,29397
80,20196850,분노의 질주: 홉스&쇼,2030128
81,20184462,봉오동 전투,3939974
82,20184621,엑시트,7548768
83,20182241,"안녕, 티라노: 영원히, 함께",145124
84,20183844,마이펫의 이중생활 2,1061589
85,20188404,암전,85378
86,20180442,사자,1602046
87,20187959,원더랜드,73851
88,20198323,레드슈즈,731379
89,20183867,알라딘,12501428
90,20196850,분노의 질주: 홉스&쇼,2965558
91,20184621,엑시트,8351412
92,20184543,변신,768998
93,20184462,봉오동 전투,4506635
94,20185985,광대들: 풍문조작단,433419
95,20171021,커런트 워,131202
96,20182241,"안녕, 티라노: 영원히, 함께",189723
97,20183844,마이펫의 이중생활 2,1100521
98,20191604,애프터,37839
99,20198323,레드슈즈,762734
100,20184543,변신,1499360
101,20181416,유열의 음악앨범,684517
102,20184621,엑시트,8907012
103,20196850,분노의 질주: 홉스&쇼,3414361
104,20193665,47미터 2,311240
105,20184462,봉오동 전투,4707006
106,20185985,광대들: 풍문조작단,597425
107,20194384,안나,73250
108,20171021,커런트 워,194259
109,20198323,레드슈즈,786502
110,20181416,유열의 음악앨범,1117413
111,20192804,그것: 두 번째 이야기,414878
112,20193821,극장판 헬로카봇 : 달나라를 구해줘!,319417
113,20184621,엑시트,9215316
114,20184543,변신,1757679
115,20196850,분노의 질주: 홉스&쇼,3607501
116,20193665,47미터 2,440356
117,20184462,봉오동 전투,4767092
118,20194541,안녕 베일리,39817
119,20185985,광대들: 풍문조작단,632384
120,20188750,나쁜 녀석들: 더 무비,2680930
121,20184572,타짜: 원 아이드 잭,1684033
122,20187322,"힘을 내요, 미스터 리",885846
123,20193821,극장판 헬로카봇 : 달나라를 구해줘!,503224
124,20184621,엑시트,9387080
125,20192804,그것: 두 번째 이야기,557014
126,20181416,유열의 음악앨범,1225554
127,20194045,극장판 반지의 비밀일기,56299
128,20196850,분노의 질주: 홉스&쇼,3649860
129,20184543,변신,1797796
130,20188750,나쁜 녀석들: 더 무비,3906769
131,20184572,타짜: 원 아이드 잭,2111602
132,20192982,애드 아스트라,352932
133,20187322,"힘을 내요, 미스터 리",1119490
134,20193807,예스터데이,226984
135,20193821,극장판 헬로카봇 : 달나라를 구해줘!,558571
136,20184483,퍼펙트맨,30456
137,20192804,그것: 두 번째 이야기,584467
138,20184621,엑시트,9407840
139,20181103,벌새,93366
140,20193601,장사리 : 잊혀진 영웅들,689707
141,20188750,나쁜 녀석들: 더 무비,4442225
142,20194456,양자물리학,387601
143,20199446,원스 어폰 어 타임... 인 할리우드,197002
144,20192982,애드 아스트라,487511
145,20184572,타짜: 원 아이드 잭,2212819
146,20193807,예스터데이,292246
147,20184483,퍼펙트맨,89842
148,20187322,"힘을 내요, 미스터 리",1166190
149,20195968,더 룸,44682
150,20199950,조커,2199816
151,20195920,가장 보통의 연애,1064468
152,20184483,퍼펙트맨,664046
153,20193601,장사리 : 잊혀진 영웅들,1038105
154,20194456,양자물리학,542651
155,20188750,나쁜 녀석들: 더 무비,4556691
156,20195941,소피와 드래곤: 마법책의 비밀,70420
157,20199446,원스 어폰 어 타임... 인 할리우드,258139
158,20196380,몬스터 하우스,37998
159,20192982,애드 아스트라,508767
160,20199950,조커,3847422
161,20195920,가장 보통의 연애,2046855
